Algorithm,Truth,LLM Decision
Aho Corasick,Overfitting,Overfitting
Bellman Ford,Correct,Correct
Breadth First Search,Correct,Correct
Counting Sort,Correct,Correct
Depth First Search,Overfitting,Overfitting
Dijkstra,Overfitting,Overfitting
Disjoint Set,Correct,Correct
Edit Distance,Correct,Overfitting
Floyd Warshall,Overfitting,Overfitting
Kahns Algorithm Topo,Correct,Correct
Knapsack,Correct,Correct
Knuth Morris Pratt,Correct,Correct
Longest Common Substring,Overfitting,Correct
Longest Increasing Subsequence Iterative,Correct,Correct
Match Word Pattern,Overfitting,Overfitting
Matrix Chain Multiplication,Correct,Correct
N Queens,Correct,Overfitting
Optimal Merge Pattern,Correct,Correct
Rabin Karp,Overfitting,Overfitting
Radix Sort,Correct,Correct
